Year,Season,Latitude,Longitude,Mean_Temperature_C,Max_Temperature_C,P95_Temperature_C,Max_Wetbulb_C,Mean_Wetbulb_C,Days_Above_35C,Days_Above_Wetbulb_28C,Days_High_Wind,Max_Consecutive_Hot_Days,Max_Consecutive_Wetbulb_Days
2014,Fall,30.38,-113.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-112.88,25.56,36.13,32.43,12.96,8.53,2,0,0,2,0
2014,Fall,30.38,-111.88,23.7,34.4,31.22,12.23,7.74,0,0,0,0,0
2014,Fall,30.38,-110.88,20.7,31.04,28.09,10.82,6.46,0,0,0,0,0
2014,Fall,30.38,-109.88,20.57,31.18,28.26,10.89,6.41,0,0,0,0,0
2014,Fall,30.38,-108.88,20.71,31.26,28.97,10.94,6.47,0,0,0,0,0
2014,Fall,30.38,-107.88,18.27,30.18,28.1,10.5,5.42,0,0,0,0,0
2014,Fall,30.38,-106.88,19.05,31.37,29.46,11.0,5.75,0,0,0,0,0
2014,Fall,30.38,-105.88,18.57,32.62,29.93,11.52,5.54,0,0,0,0,0
2014,Fall,30.38,-104.88,20.28,35.44,31.34,12.71,6.27,1,0,0,1,0
2014,Fall,30.38,-103.88,17.68,33.04,28.82,11.69,5.15,0,0,0,0,0
2014,Fall,30.38,-102.88,18.08,31.39,28.52,11.0,5.32,0,0,0,0,0
2014,Fall,30.38,-101.88,20.54,32.33,30.82,11.39,6.38,0,0,0,0,0
2014,Fall,30.38,-100.88,20.51,32.0,30.44,11.26,6.37,0,0,0,0,0
2014,Fall,30.38,-99.88,20.35,31.54,30.06,11.07,6.3,0,0,0,0,0
2014,Fall,30.38,-98.88,19.95,32.0,29.7,11.22,6.13,0,0,0,0,0
2014,Fall,30.38,-97.88,22.06,33.99,31.93,12.07,7.04,0,0,0,0,0
2014,Fall,30.38,-96.88,22.9,33.9,33.08,12.04,7.41,0,0,0,0,0
2014,Fall,30.38,-95.88,22.47,33.12,32.38,11.73,7.22,0,0,0,0,0
2014,Fall,30.38,-94.88,22.25,33.68,31.73,11.98,7.13,0,0,0,0,0
2014,Fall,30.38,-93.88,22.05,33.79,31.59,12.05,7.04,0,0,0,0,0
2014,Fall,30.38,-92.88,21.93,33.82,31.48,12.07,6.99,0,0,0,0,0
2014,Fall,30.38,-91.88,21.95,33.35,31.39,11.88,7.0,0,0,0,0,0
2014,Fall,30.38,-90.88,21.9,32.93,31.21,11.7,6.98,0,0,0,0,0
2014,Fall,30.38,-89.88,21.95,32.81,31.3,11.66,7.0,0,0,0,0,0
2014,Fall,30.38,-88.88,21.98,32.85,31.36,11.68,7.01,0,0,0,0,0
2014,Fall,30.38,-87.88,21.97,32.88,31.47,11.69,7.01,0,0,0,0,0
2014,Fall,30.38,-86.88,22.05,33.51,31.43,11.95,7.04,0,0,0,0,0
2014,Fall,30.38,-85.88,22.17,33.18,31.31,11.82,7.09,0,0,0,0,0
2014,Fall,30.38,-84.88,22.34,33.68,31.6,12.03,7.17,0,0,0,0,0
2014,Fall,30.38,-83.88,22.94,35.08,32.24,12.63,7.43,1,0,0,1,0
2014,Fall,30.38,-82.88,23.17,34.63,31.65,12.44,7.53,0,0,0,0,0
2014,Fall,30.38,-81.88,23.16,32.83,29.68,11.67,7.52,0,0,0,0,0
2014,Fall,30.38,-80.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-79.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-78.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-77.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-76.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-75.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-74.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-73.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-72.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-71.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-70.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-69.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-68.88,,,,,,0,0,0,0,0
2014,Fall,30.38,-67.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-124.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-123.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-122.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-121.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-120.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-119.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-118.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-117.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-116.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-115.88,16.84,24.71,21.8,8.18,4.82,0,0,0,0,0
2014,Fall,31.38,-114.88,23.24,32.66,29.43,11.52,7.55,0,0,0,0,0
2014,Fall,31.38,-113.88,,,,,,0,0,0,0,0
2014,Fall,31.38,-112.88,24.88,35.9,32.35,12.85,8.23,2,0,0,2,0
2014,Fall,31.38,-111.88,21.36,32.91,29.16,11.6,6.74,0,0,0,0,0
2014,Fall,31.38,-110.88,18.32,29.36,26.13,10.11,5.45,0,0,0,0,0
